"id","study_id","read_calctype","read_ancovasource","read_calcmethod","read_imputemethod","justification","imbalance","read_comments","recalc_study","recalc_calctype","recalc_ancovasource","recalc_calcmethod","recalc_imputemethod","recalc_comments","extract_user","submitted_date","last_updated","is_draft"
"49","80","change score",NULL,"SMD or MD based on change scores","none","SMD or MD based on whether the same scale was used for the outcomes","randomized and non-randomized controlled trials included, JBI Critical Appraisal Checklist for Randomized Controlled Trials &amp; JBI Critical Appraisal Checklist for Non-Randomized Controlled Trials for bias assessment",,"Rawson et al. 2019 (3 out of 3 from Fig 2a)","change score",NULL,"MD based on change scores","unclear","The MA appears to have extracted the data from the study selected for recalculation using figures, although the study presents numbers in the supplemental materials. There also appears one data extraction error (wrong sign of mean change score). When using the other studies of the forest plot instead, I could recalculate the mean change scores presented in the forest plot, but not the change score sd. The MA authors may have used an unusual procedure for calculation, I tried different things but my sd estimates were all off; the presented change score sd is very small. Taking the values from the forest plot I could recalculate the ES and CI. Also the MA mixes different measures, e.g., for two studies it takes the PDQ-39 total score (no subscales reported), but for another it takes a subscale (despite also total reported).","SN","2025-05-16 11:25:57","2025-05-16 12:19:42","0"
"50","85","post-measures",NULL,"MD of post scores (but depending on the measure change scores were used instead)",,"post score or change score depending on the availability of data","for the MA only RCTs were included, ROB-2 for bias assessment in RCTs","For the outcomes VO2max and shuttle run performance, post-score based ES were used (see caption of Fig 2,3). For resting heart rate, change-score based ES were used. I categorized the MA as &quot;post-score based&quot;, since most analyses, the analysis for the primary outcome, and most individual studies were analyzed using post scores.","Zhou et al. 2019 [SPE + ASE] (5 out of 5 from Fig. 2)","post-measures",NULL,"MD of post scores",,"The particular study used for recalculation had one issue and one extraction error: The issue was that they did not report post values, but only pre and change means and sds. The MA used the calculated post means with the pre sd, which is only appropriate under additional assumptions. The error in data extraction was that the MA reported a sample size of 180 for CON, but the actual sample size was 168.","SN","2025-05-16 14:09:59","2025-05-16 14:32:49","0"
"51","86","unclear",NULL,"SMD with Hedges&#039; correction",,"Between group comparison is justified by referencing Cuipers. Borenstein is referenced for the use of Hedges correction to deal with small samples in sports science (reference to Abt).","randomized and non-randomized controlled studies included, PEDro for bias assessment","For me it is not clear whether post or change score values were used for the ES calculation.","Kelly et al. 2008 (2 out of 5 from Fig2 that are based on one ES)","change score",NULL,"SMD with Hedges&#039; g based on changes scores","unclear","It was not possible to get a matching reproduction, this may be in part because the ES data is only visually presented in the forest plot and had to be manually extracted. For 2 out of the 3 studies I tried to recalculate, I got almost perfectly the ES and with a slight deviation the CI when using SMD based on change scores and their sd imputed with r=0.5. For the other study (2) I did not get anywhere to the ES depicted in the forest plot. For one study (3) there was a minor data extraction error, with INT pre sd in MA as 3.1 but originally 3.2. For one study (1) there was an error in the original data presentation, because the mean change in INT did not match the difference of means. Overall, I could not really recalculate the ES, but this may be in part explained by the fact that the ES values had to be extracted.","SN","2025-05-16 15:11:58","2025-05-16 16:10:04","0"
"52","87","unclear",NULL,"SMD (Hedges&#039; g) and MD",,"SMD if different scales are used, otherwise MD","only RCTs included, PEDro scale for bias assessment","It is unclear whether the MA uses post or change score. To me it rather seems like change scores we used, but it is not clear from reading.","Van Puymbroeck et al. 2018 (7 out of 11 from Supplemental Materials Forest Plot for Analysis 1.1)","post-measures",NULL,"SMD (Hedges&#039; g with default RevMan variance estimator) based on post scores and their sd",,"Perfect match when using the values rounded to one decimal. The original study provided values rounded to two decimals, when these are used for the calculation, the ES and CI is minimally off.","SN","2025-05-22 16:22:53","2025-05-22 16:39:53","0"
"53","89","change score",NULL,"SMD (Hedges&#039; g) probably based on change scores","r = 0.7","reference to Hedges for SMD, reference to Rosenthal for imputation.","possibly randomized and non-randomized trials included (but this is not stated), PEDro for bias assessment","The authors do not explicitly mention that they used change scores for their ES. But they report to impute a correlation, which implies the use of change scores. Also for one MA the authors use combined ES, i.e., they combine the ES of multiple outcomes to one single ES for the study. I&#039;ll use the second MA instead for the recalculation, because it focuses only on one outcome (VO2max).","Portal et al. 2011 (7 out of 9 from Fig 4A)","unclear",NULL,"possibly change-score based, but could not recalculate",,"I tried four studies but could not recalculate any ES. The nearest I got was with the Morris method, but only one almost perfect match for ES (CI near). I don&#039;t know what the issue is.","SN","2025-05-23 12:50:33","2025-05-23 13:46:58","0"
"54","90","change score",NULL,"SMD based on change scores","r = 0.5","link to Cochrane for the imputation formula to convert pre-post correlation to change score sd","only RCTs included, ROB-2 for bias assessment","the main focus of the article is a moderator analysis (a meta-regression). However, the article also has classic MAs comparing two groups. For many included studies more than one outcome is reported, so we have to see what data we can use for the recalculation.","Kraemer et al. 2001 (24 out of 57 from Fig 4), but later used Kraemer et al. 2004 instead because data was presented in a table","change score",NULL,"SMD (Hedges&#039; g) based on change scores and their standard deviation.","r = 0.5","I had to use another study for recalculation that reported the parameters in a table. I could perfectly reproduce the imputation procedure, ES, and CI, but the MA authors mistook the ES var for the ES SE (I believe for all ES in the MA). This leads to overly narrow CIs, since var(ES) &lt; SE(ES) for var(ES) &lt; 1.","SN","2025-05-23 18:46:20","2025-05-23 19:41:24","0"
"55","92","change score",NULL,"SMD (Hedges&#039; g) probably based on change scores","unclear","none","randomized and non-randomized controlled trials included, ROB-2 and TesTex for bias assessment","change score SMD is not explicitly written, but the article says &quot;Preintervention and postintervention mean &amp; SDs for a given outcome from the intervention and control groups were converted to Hedges’ g ES.&quot; which implies it.","(8 out of 10 from Fig 3)","unclear",NULL,"possibly SMD based on change scores",,"I could not reproduce the ES calculation method (although I could verify that the data extracted from the original studies was correct).","SN","2025-05-27 10:34:02","2025-05-28 09:53:13","0"
"56","95","unclear",NULL,"Post score based and change score based",,"Reference to Cochrane Handbook that post scores and change scores would be the same on average . No imputation method was reported.","only RCTs included","Mean difference is used for angle measurements,  SMD is used for ground reaction forces. 
I am not sure, if change scores and post scores  were dealt separately in subgroups.","Study 4 of 7 - McCurdy et al 2012  SL DVJ (Forest Plot, Suppl. Fig. S1)","post-measures",NULL,"Mean difference of post scores, no variance homogeneity",,"The study (McCurdy et al) mentioned that only 27 participants took part, but it is not transparent in which group there were drop outs. Therefore, I used the number of participants that were given in the abstract of the study.","TS","2025-05-30 21:50:14","2025-05-31 11:46:35","0"
"57","96","change score",NULL,"SMD with 95% CI, based on change scores","r=0.5","According to Cochrane Handbook guidelines","RCTs as an inclusion criterium, Cochrane Risk of Bias Tool used","Network Meta Analysis - did not report individual ES","not applicable as there is no individual study data",NULL,NULL,"-",,"-","TS","2025-06-08 20:33:41","2025-06-08 21:07:07","0"
"58","101","change score",NULL,"Based on Change score with post score SD as Standardizer + Hedges g correction","Based on post score SD","none","Risk of bias was evaluated via visual inspection of funnel plots","forest plots seems to include double counting of control groups","Negra et al. (2020) - (18 of 21, Figure 2)","change score",NULL,"As reported: Based on Change score with post score SD as Standardizer + Hedges g correction","post score SDs used","I assume the reported method was used, although I was unable to recalculate the exact values due to rounding errors.","TS","2025-06-09 10:21:30","2025-06-09 11:02:47","0"
