study_id,extraction_id,is_double,status,status_explanation,read_calctype,read_ancovasource,read_calcmethod,read_imputemethod,justification,imbalance,read_comments,recalc_study,recalc_calctype,recalc_ancovasource,recalc_calcmethod,recalc_imputemethod,recalc_comments,extract_user,submitted_date,last_updated,is_draft,recalc_imputemethod_result,calcmethod_code,hedges,standardizer,varestimator,reporting,error_extraction,error_extraction_note,error_calculation,error_calculation_note,error_reporting,error_reporting_note,further_observation
1,1,FALSE,,,change score,NULL,SMD (Hedges&#039; g) based on change score means and change score sds,r = 0.5,"Cochrane Handbook recommendations (&quot;conservative correlation of 0.5 was assumed to minimize the likelihood of overstating the intervention effect&quot;), Lakens 2013 for SMD with Hedges&#039; g",half of the studies are non-randomized. The RoB checklist (Suppl 3) is not really suitable as its items are for RCTs. The RoB results are therefore questionable.,"The authors present the imputation of the pre-post correlation as a limitation. Interestingly, the methods section seem to be copy-pasted and included a wording not relevant to the study (stretching vs. control).","Almquist 2022 (Group 2) (41 of 68 in Sup Fig 1, but there might be some double-counting in the forest plot)",change score,NULL,"This one is tricky. From how I understand it the authors did in fact not perform any group comparison, but only calculated within changes for each group. They used SMD with Hedges&#039; g correction for this (I could reproduce this with the number they give), but with treating the pre- and post-measures as independent. Thus not considering the pre-post correlation at all despite stating.",none,"I also couldn&#039;t reproduce their data extraction. The numbers reported in the MA do neither exactly match the data from the plot or table of the original publication (which differ, by the way). So there may be several issues here. 

The main take-away is that the meta-analysis did not really use a group comparison at all despite stating this. Maybe Tab 2 indicates a potential between group comparison, but this rather looks like a comparison of different overall within-groups effects. Maybe the multi-level MA offers any additional information, but I can&#039;t find anything more on it. 

So I could reproduce the ES size measure, but not with the method stated. Also I could not reproduce the data extraction.",SN,04.03.2025 11:41,20.05.2025 15:22,0,0,smd_hedges_changewithin_avg_metafor,TRUE,avg,metafor,incorrect,unclear,Could not reproduce data extraction for some values,none,,major,"The MA reported to use between study SMD with an imputed r of 0.5. Instead they only calculated within study ES, without using any correlation measures.",
2,6,TRUE,,,change score,NULL,"SMD with Hedges' correction of change scores standardized by pre score SD (Morris ppc1, either with Morris or Becker variance estimator)",r = 0.7 if not possible to recalculate,"all articles included pre and post-case control designs (Becker, 1988 &amp; Morris, 2008)",Risk of Bias analysis for randomised trials (RoB2) showed some concerns (64%) and 36% with high risk and analysis for nonrandomized trials (ROBINS-I) showed at least serious risk for each article. ,"the presented formula shows the Morris ppc1 estimate and variance estimator, but also reference to Becker. In general, very detailed explanation of the effect size calculation methods including formulas for point and variance estimate. Sensitivity analysis were performed for r = 0.1, 0.2, ..., 0.9. Data and code available!","Simao, R. (Reference in forest plot wrong. 76 instead of 77), no. 20 in Figure 4",change score,NULL,SMD (with Hedges&#039; correction) of change score with raw (pre-) score standardization (Morris ppc1 with Becker variance estimator),r = 0.7,"MA used a different variance estimator than the one given in the article as a formula. I could perfectly recalculate the ES point estimate, but not the forest plot CI, because the aggregation procedure of the 3-level MA seems to change the variance estimates. But using the script, I could fully reproduce the originally calculated ES variance.",TS/SN,26.03.2025 19:41,17.12.2025 11:07,0,0.7,ppc1_becker,TRUE,pre,becker,incorrect,none,,none,,minor,incorrect formula for variance estimator reported,
4,7,FALSE,,,unclear,NULL,probably some change-score based MD but this is written nowhere,none,none,only RCTs included,"from the forest plot and the one vague sentence on effect size calculation, I suppose the MA uses MD based on change scores. But there are almost no information given, also the language is sometimes confusing.",Carcelén-Fraile 2022 (3 out of 19 in Fig 2),change score,NULL,MD of change scores and their sd. Mean and sd of change scores are compared with a traditional (between-group/independent) MD. This could count as some form of change score-based standardization.,r = 0.5,"This was fairly easy to recalculate, in part because the forest plot shows detailed data (mean, sd, for both groups).",SN,28.03.2025 16:56,28.03.2025 18:20,0,0.5,md_change_change,NA,change,hetero,missing,none,,none,,none,,
5,2,FALSE,,,change score,NULL,"SMD of change score means devided by pooled change score sds. Unclear if Hedges&#039; correction. Indirect link to Borenstein &amp; Hedges for the variance estimator, which would mean that Hedges&#039; correction applies (though their reference makes a mistake in copying the formula).",r=0.5,"commonly used, &quot;balancing the risk of over- or underestimating the variance.&quot; Reference to Rosenthal",only randomized or crossover studies included,,"Franchi et al (14 of 35 in Fig 2, though there is potentially double-counting of studies)",change score,NULL,"SMD of change scores standardized by the change score standard deviation, without Hedges&#039; g correction.",0.5,"I had to try to recalculate three studies: The first and second study presented percentage differences with a measure of variability, so that no correlation imputation was needed. For the third study I could confirm the imputation procedure. In general I could reproduce the effect sizes (when not using Hedges&#039; correct, the correction was not written in the manuscript but may have been implied by the references). I could not reproduce the CIs, maybe in part because I had to extract these values from a low quality figure. 

Also, for the first study I tried to recalculate, the MA authors mistook SEM for SD, making the effect estimate incorrect. In this case the CIs were also definitely off.

[EDIT AFTER AUTHOR CONTACT:]
The authors provided a data sheet with the exact effect sizes and standard errors. With this information, I could recalculated all three effect sizes I tried, after correcting two minor data extraction error from my side and after considering the already described SD/SE mixup for one study. I have updated the R code.",SN,04.03.2025 13:35,24.11.2025 10:22,0,0.5,smd_cohen_change_change,FALSE,change,cohen,incomplete,major,SE/SD mixup,none,,none,,
6,3,FALSE,,,unclear,NULL,"I guess post-score based SMD (Cohen&#039;s d), but I am not exactly sure because only studies with pre and post-measures were included.",,"At some point Cochrane is referenced for the effect size measures selected, but no explicit justification.","included RCTs and CTs, analyzed separately, ROBINS-I and RoB2 bias assessment.",,"Fu (2013), from Figure S1a (Suppl)",change score,NULL,Cohen&#039;s d SMD based on change scores (standardized by either average pre and post standard deviation or by change score standard deviation when imputing r = 0.5).,maybe r=0.5 or average pre and post sd instead,"I had to use a second study to work out the effect size calculation procedure. It then worked for both. The MA neither mentioned any correlation imputation nor standard deviation combination procedure, and they provide comparable results, so I am unclear which of both was used. In general the article lacks any concrete description of the effect size calculation procedure.",SN,06.03.2025 13:00,25.03.2025 12:37,0,0.5,smd_cohen_change_change,FALSE,change,cohen,incomplete,none,,none,,none,,
7,4,FALSE,,,change score,NULL,SMD of change scores standardized by pooled pre sd (this is essentially the ppc2 approach by Morris 2008),"unclear (although not needed for standardization, but for variance estimate)",reference to Morris 2008,"randomized and non-randomized trials included, pedro scale rating",,Hayes &amp; Walker (2007) [1] (87 out of 106 from S6 Fig 1),change score,NULL,"ppc2 of Morris (change score based SMD with pooled pre sd for standardization), with Becker (ppc1) variance estimator",r=0.5,"The authors provided the full extracted data with was extremely helpful for reanalyzing. I had to extract the original study data from a plot but received values similar to the MA authors. The MA authors made a mistake in data extraction for the sample size of the control group. The correlation imputation had to be guessed, but worked well (also in the raw data the authors commented that they used r=0.5 for calculating change score sd). [AFTER REANALYIS: I could get exactly matching confidence intervals when calculating the variance using the Becker estimator, which is usually used for the ppc1 approach]",SN,07.03.2025 11:55,25.03.2025 12:37,0,0.5,ppc2,TRUE,pre,becker,incomplete,minor,incorrect sample size,minor,incorrect variance estimator,none,,
9,5,FALSE,,,change score,NULL,SMD based on change scores standardized by pooled pre sd (Morris ppc2).,r = 0.7,reference to Morris for the effect size. reference to Rosenthal (1986) for the correlation imputation (&quot;standard value of 0.7&quot;),only randomized controlled trials included,The authors provide the formula for their ES and its variance.,Martínez Guardado (2020) bizeps curl (16 out of 31 from Fig 2),change score,NULL,SMD based on change scores standardized by pooled pre sd (Morris ppc2).,0.7,recalculation perfectly worked with the first try,SN,07.03.2025 17:28,29.04.2025 14:49,0,0.7,ppc2,TRUE,pre,morris2,complete,none,,none,,none,,
10,10,FALSE,exclude,no formal group comparison (Bayesian one-stage IPD-MA),change score,NULL,not required,not required,na,"Randomised controlled and non-controlled training studies, ROB-2 for RCT and ROBINS for non-RCT bias assessment","This is a special case, because it is a Bayesian one-stage IPD (individual participant data) MA, which means that no effect sizes were calculated on the study level. Therefore, the design matches to what we are looking for, but the analysis method is not matching.",,NULL,NULL,,,,SN,28.03.2025 18:36,25.04.2025 15:10,0,,,,,,,,,,,,,
13,8,FALSE,,,unclear,NULL,"SMD, but unclear based on what",,none,"non-randomized studies included, RoB-2 tool to assess bias (e.g. due to missing randomization)",there is really not much reported on the effect sizes. Maybe it&#039;s post score only then?,Moro 2020 (14 out of 17 in Fig 2),post-measures,NULL,"SMD, possibly with Hedges correction but this does not make a difference in this case",,fairly easy to recalculate because the forest plots showed means and sds for both groups. [AFTER REANALYSIS: could determine that Hedges correction and Revman variance estimator were used],SN,28.03.2025 18:00,28.03.2025 18:19,0,na,smd_hedges_post_revman,TRUE,post,revman,missing,none,,none,,none,,
18,11,TRUE,,,change score,NULL,SMD (Hedges g),r = 0.5,reference to: Cochrane handbook for systematic reviews of interventions; 2011.,"only randomized trials included, ROB-2 for bias assessment","It&#039;s a Network Meta Analysis, therefore recalculation is probably difficult. The MA does not report to use a change score based ES, but reports to have performed correlation imputation, which only applies to change score based ES. No individual ES presented in the main manuscript.","Saeterbakken et al. 2018 ( 4 out of 4 from Tab S1, first section [no forest plots with individual ES are given, but the Tab S1 presents individual ES)",change score,NULL,SMD (with Hedges&#039; correction) based on change scores and their SD (possibly RevMan variance estimator),r = 0.5,,TS/SN,31.03.2025 09:07,17.12.2025 11:13,0,0.5,smd_hedges_change_change_revman,TRUE,change,revman,complete,none,,none,,none,,
19,33,FALSE,exclude,analysis does not match inclusion criteria (Pharmacodynamic model-based meta-analysis),change score,NULL,not applicable,not applicable,na,"only RCTs included, ROB-2 for bias assessment","This is a pharmacodynamic model-based MA. I would say, the design matches the inclusion criteria, but the analysis method does not.",,NULL,NULL,,,,SN,25.04.2025 15:28,25.04.2025 15:28,0,,,,,,,,,,,,,
21,32,FALSE,,,post-measures,NULL,"Unclear, possibly MD. But surely post-measure based.",,none,"only RCTs included, ROB(-1) for bias assessment","recalculation may be challenging, because the article text and supplemental material does not present forest plots showing individual studies. However Table S1 shows the results of pairwise comparisons and some of them are n=1.
The text says mean difference, but also uses Cohen for ES classification, which is only suitable for SMDs.","Banitalebi et al. 2019 (10 out of 13 in Tab S1, counting all n=1 cases from top to bottom, then figuring out the only matching study of interest). The random number generator said 12 before, which was also Banitalebi, but contrary to the MA Tab 3 they did",post-measures,NULL,MD of post scores,,determining the target ES was challenging because I had to infer individual ES from aggregated forest plots and also there may be some problems in the categorization of studies in the MA.,SN,24.04.2025 18:57,24.04.2025 19:54,0,na,md_post,NA,post,hetero,missing,none,,none,,none,,study calculated MD but interpreteted the ES as SMD (using Cohen thresholds)
22,31,FALSE,,,change score,NULL,SMD based on change scores,r = 0.5,reference to Follmann 1992 for imputation,"only RCTs included, ROB-2 for bias assessment","seems like most included trials are crossover-RCTs. Change-score based is not totally clear here, but it reads like &quot;changes in gene expression&quot; were compared.",Hammond et al. 2019 (4 out of 12 from Fig 3A),post-measures,NULL,SMD (with Hedges' correction) based on post scores and the post SD,,"I could not reproduce the effect sizes. This may be because I had to extract data from plots, which comes with some uncertainties. I tried two studies but could not match the ES, and as no more data or methods are given in the article (e.g., no study level summary measure) it is hard to determine if the data extraction or the effect size calculation is the problem. In other words, it is not possible for me to recalculate the ES. [UPDATE AFTER REANALYSIS: I looked at the ES from another forest plot (Fig. 6) and could finally reproduce two effect sizes (for some other, I couldn't). Both incorrectly assumed the reported SE to be the SD. Also the reported correlation was not used, as the effect size measure was a standard SMD of single scores without any correlation needed. The timepoint used for the effect size calculation depends on the effects found (as it is reported in the manuscript), which is rather strange.]",SN,23.04.2025 12:19,12.12.2025 10:40,1,na,smd_hedges_post_revman,TRUE,post,revman,incorrect,major,SE/SD mixup,none,,major,The MA reported to use between study SMD with an imputed r of 0.5. Instead they only calculated post-score SMD without using any correlation measures.,
24,13,FALSE,unclear,recalculation not matching,change score,NULL,MD,unclear,for imputation of change score sd the authors say they used &quot;established methods&quot; referencing Wan et al. 2014 BMC Med Res Meth.,only RCTs included. ROB-2 and TESTEX for bias and quality assessment,"may be difficult to recalculate as the authors write that they did not include forest plots of individual study effect sizes, because the many studies &quot;rendered the font [in the plots] illegible&quot;. Interestingly while searching for any study effect sizes for recalculation, I found that in the protocol for preregistration, the authors did explicitly state their imputation method (using r = 0.5). But since this has been written before the study and not after it (and is also difficult to find), I do not take this as an extraction result.",Eguchi et al. 2012 (41 out of 211 for forest plot data provided by the authors),change score,NULL,"MD of change scores, variance calculation not clear",probably no,"I could not perform any recalculation, because the study does not provide any study-level effect sizes (e.g., forest plots). I searched the article, the supplements, and the OSF project, but could not find anything.

[EDIT AFTER AUTHOR CONTACT:]
The authors have provided a forest plot with individual effect sizes (in the form of a Stata output). I could calculate most of the point estimates I tried (some did not work, one I believe has a sign error, the other may be due to rounding, because point estimates are only presented without decimals). I could get quite near with the CI calculation without perfect match, this may also be due to rounding. Thus I could not determine the exact procedure to calculate confidence intervals. I have added R code and one original study.",SN,18.04.2025 11:39,11.11.2025 12:40,0,unclear,unclear,NA,unclear,unclear,unclear,unclear,,unclear,,unclear,,
25,14,FALSE,,,post-measures,NULL,MD,,none,only RCTs or cluster-RCTs included. ROB-2 for bias assessment,"sufficient reporting for this type of ES, but no justification given",Wolfenden et al. 2019 (45 out of 45 from Fig 2),post-measures,NULL,MD of post score (with a variance estimator assuming heterogenuous variances),,"The target variable had to be recalculated because it was given in absolute instead of relative units, but this worked well given that the forest plot shows individual group means and sds. When using the standard MD (not assuming homogeneous variances), one CI bound was narrowly off (by 0.01%). Assuming homogeneous variances matched the result, but I am unsure if the authors did indeed not use the RevMan software default here. Also for these numbers, it is practically irrelevant. [EDIT AFTER REANALYSIS: I found an error in my own data extraction (mix up of sample size for control and intervention group). After correcting for this error, I could perfectly recalculate the point estimate and CI using the standard MD procedure]",SN,18.04.2025 11:59,18.04.2025 12:40,0,na,md_post,NA,post,hetero,complete,none,,none,,none,,
26,12,FALSE,,,post-measures,NULL,MD,,"&quot;given that the included studies were exclusively randomized, and any observed
differences at postintervention were theoretically attributed to the intervention itself.&quot;","only RCTs included, ROB-2 for bias assessment","study is very explicit in the choice of effect size method (though MD has to be inferred from the forest plot). As a surrogate if no post-scores are available, the MA uses change score values. This is extensively justified by an explanation, a reference to the Cochrane handbook, and to earlier articles using the combined approach. Generally, the justification of methods is very detailed.",(7 out of 13 from Fig. 2a),post-measures,NULL,"MD (heterogeneous variances, as it is the default for most software)",,This was very straightforward to recalculate.,SN,18.04.2025 11:05,18.04.2025 11:26,0,na,md_post,NA,post,hetero,complete,none,,none,,none,,
28,28,FALSE,unclear,no effect sizes available for recalculation,unclear,NULL,"MD, possibly a combination of post- and change-score: &quot;we extracted means and
SDs of postintervention measurement or change-from-baseline outcomes value&quot;",,none,"only RCTs included, ROB-2 for bias assessment","This is a network-MA, so there are no direct group comparisons for recalculation. Also, the design may not be perfectly suitable for out research question. So we have to consider (maybe after looking at other network-MA) if we included this without recalculation possible, or if we completely exclude it from the analysis.",,NULL,NULL,,,"From reading the article, and the code provided in Supplementary Material Appendix 5, this appears to be a contrast-based NMA. However, no individual study-level effect size data are available in the manuscript or the materials.",SN,23.04.2025 09:27,23.04.2025 09:50,0,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,unclear,,unclear,,
29,30,FALSE,unclear,recalculation not matching,change score,NULL,SMD based on change scores,unclear,none,"(cluster) RCTs and quasi-experimental studies included, ROB-2 for bias assessment","We here only deal with the continuous outcome MA, not with the incidence of concussions. There is no phrase that explicitly states &quot;the ES is change score based&quot;, but from the methods section this is very obvious.",Attwood et al. 2022 (1 out of 20 from Fig 2),change score,NULL,"SMD (Hedges&#039; g based on change scores and their sd, RevMan variance estimator)",unclear,"Difficult one. By taking the mean and sd values from the forest plot I could fully reproduce the ES + CI. But I could not reproduce the mean and sd in the forest plot. This may be in part because a composite score of different variables has to be calculated for this. But I tried a lot (for two studies) and could barely recalculate one mean values (from 4) and no SD. So I could also not determine the imputation method.

[EDIT AFTER AUTHOR CONTACT:]
The author provided an example of the calculation method, but only referred to the Cochrane handbook when asked for the specific imputation method used. More specifically, he stated that the correlation was imputed using a formula that allows back-calculation from the SD of change-score, though the SD of change scores was the target quantity that needed to be determined. Despite further asking for clarification, I did not get any information on the imputation procedure used. Also the apparent discrepancies between recalculated means and data published in the forest plot was acknowledged by the author, and attributed to the fact, that the MA authors received raw data for some studies, which can lead to different analysis results.",SN,23.04.2025 09:59,11.11.2025 12:48,0,unclear,smd_hedges_change_change_revman,TRUE,change,revman,unclear,unclear,,unclear,,unclear,,
31,15,FALSE,,,change score,NULL,SMD or MD depending on whether different scales were used,r = 0.5,none,"only RCTs included, TESTEX for bias assessment","That the effect size is change-score based is not totally explicitly written somewhere, but from the extraction section and the forest plot this is quite clear.","Arthur et al. 2007 (9 out of 16 in Fig 2a, because Yamasaki et al. 1985 (8 out of 16) could not be retrieved and also is in Japanese)",change score,NULL,"SMD (Hedges&#039; g) based on change scores and their standard deviations, with RevMan variance estimator",r = 0.84,"I could recalculate the ES and its CI, but only when ignoring different issues I regard as errors. By luck, this study was a special case indicated in the MA text, because it did not present post score sds. Regardless of this I could do the recalculation and found the following issues:
1. The percentage changes are taking as the change scores. This is problematic, because for their sds, the absolute scale is used
2. I think one percentage was incorrectly extracted (18% instead of 19%)
3. The group assignment of percentage changes is incorrect, so the effect is in the wrong direction.
The ES is reproducible when considering these errors, but it is wrong in its magnitude and direction (only its precision is correct). [EDIT AFTER REANALYSIS: I could verify the effect size procedure and get the exact method (eith Hedges' correction, RevMan variance estimator) by recalculating further ES. I also found out that the actual imputed correlation is 0.84 and the the stated 0.5]",SN,18.04.2025 12:49,25.06.2025 15:12,0,0.84,smd_hedges_change_change_revman,TRUE,change,revman,incorrect,major,wrong effect direction; percentages used as absolute values; incorrect digit in mean,none,,minor,A correlation of 0.84 was imputed instead of the reported 0.5,
32,27,FALSE,,,unclear,NULL,"SMD (Hedges&#039; g), more details are available in Sup. 9. Unclear if change or post-score based, but definitely a form of within group analysis (due to the crossover design). Imputation is based on average correlations for the same outcome, or if not available r = 0.5.",,"imputation based on previous published (and unpublished) data, link to Cochrane handbook for ES calculation","only RCTs included, ROB-2 for bias assessment","Suppl S9 is very detailed. The procedures follow the standard for crossover (so within group analysis), but some formula are confusing. For example the hedges ES is actually not corrected, but simple Cohen&#039;s d. 
The analyzed studies are cross-over trial, which influences the choice of ES method.
The study has published raw data and code, which should help during the recalculation.","Carter et al. 2018 (1 out of 7 from Fig S1), condition 2x8min",post-measures,NULL,SMD based on within-group comparisons (with [possibly incorrect] bias corrected variance but not ES). Correlation imputation based on average values for all included studies (though study level results were available).,r = 0.69,"Using the published data and code I could recalculate the ES with CI (otherwise it would be challenging even with the detailed Sup S9). Some things were noteworthy:
1. The MA uses imputed mean correlations for calculating the study level effect size, even if the study has correlation data available
2. within-condition pre-post correlations are computed, but in the analysis they are treated as between-condition post correlations.
3. There was a small data extraction error for the SD_change, extracting 1.6 instead of 1.8. This changed the imputed correlation, but had no impact on the result, because:
4. There was an error in the Excel reference for the recalculated study, using the mean correlation for the wrong outcome measure for the variance calculation (for &#039;Cerebrovascular conductance&#039; instead of &#039;Cerebral blood flow velocity&#039;, which is 0.69 instead of 0.72)
5. For the ES point estimate, the data sheet and MA report to use Hedges&#039; g, but it is incorrectly calculated as a simple SMD without correction using the pooled sd as standardizer. So in fact this is Cohen&#039;s d and for equal n the exact same value as the ES the data sheet reports as uncorrected (which uses average sd instead of pooled sd)
6. Also the correction procedure for the ES variance does not match the ES variance calculation. The variance calculation assumes a repeated measure design (so df=n-1), but the correction formula uses df=n1+n2-2).

So there are a lot of small issues going on here. And most of them could only be identified because the raw data and code was available.

I tried to recalculate the study level effect size by using the correct (mean) study correlation and fully using the appropriate Hedges&#039; correction (so in fact trying to fix the points (1,3,5,6) above:
old ES: 0.32 [-0.08, 0.71]
new ES: 0.29 [-0.17, 0.77]

So in this particular single-study case, it does not make a substantial difference.

[modification after validation: fixed an error in the recalculation script; updated new ES accordingly]",SN,22.04.2025 18:40,21.10.2025 11:21,0,0.69,smd_within_cohen_post_bh,FALSE,post,bh,incomplete,minor,incorrect sd extracted,major,between-condition correlation estimated from pre-post correlations; incorrect correlation imputed (Excel reference error); incorrect df for Hedges' correction; missing Hedges' correction for point ES,none,,
34,17,FALSE,,,change score,NULL,SMD with post-measure standardization and Hedges&#039; correction,not applicable,none,"randomized and non-randomized studies included, ROB-2 (RCT) and ROBINS-I (non-RCT) for bias assessment","The text does not explicitly say &quot;change-score based&quot;, but it says that ES were calculated from pre- and post-scores using post-score standardization and the figure captions say &quot;Forest plot for changes&quot;, which implies a change score based method.

[modification after validation stage: added reported use of ROBINS-I tool; added note on figure captions indicating change score based calculation method, also add PDF of annotated MA which failed to upload before because of a size limit]",Liu et al. 2022 (7 of 19 from Fig 4a),change score,NULL,SMD of change scores standardized by post scores with Hedges&#039; correction and Borenstein variance estimator,not applicable,"worked well, but I had to try out the different variance estimators, since the metafor and RevMan defaults did not work.",SN,18.04.2025 17:29,21.10.2025 11:30,0,na,smd_hedges_change_post_bh,TRUE,post,bh,complete,none,,none,,none,,
35,34,FALSE,exclude,analysis does not match inclusion criteria (no comparison of means),change score,NULL,na,na,na,"only RCTs included, ROB(-1) for bias assessment","This MA deals with the variability of effects, not with the effects themselves. So the design matches the inclusion criteria, but the analysis does not.",,NULL,NULL,,,,SN,25.04.2025 15:33,25.04.2025 15:37,0,,,,,,,,,,,,,
36,29,TRUE,unclear,no effect sizes available for recalculation,unclear,NULL,"change score based approach (Morris 2008) is referenced, but unclear if it was used for the meta-analyses","informative Gaussian prior centered at r = 0.85 : &quot;Therefore, primary data obtained
from relevant studies (including those produced in the laboratories of the study team) were used to develop informative priors to model within study variances (Gaussian prior centred at r = 0.85 and range from approximately 0.70–0.99)&quot;","No justification of ES calculation. Imputation of within-study variance was modelled by primary data obtained from relevant studies (reference to Morris, 2008)",ROB-2 for bias assessment,"It&#039;s unclear if and if true which of the Morris types was used. Also if the priors for r were only part of the variance estimation in the Bayesian MA, or also for the (non-MA) ES calculation for all studies. ES are shown as distributions under a Bayesian framework, so it is not possible to recalculate, since also no code and data for individual study ES is presented.",,NULL,NULL,,,"From reading the manuscript, it appears that at least some of the analyses are contrast-based NMA (see panel B and D of Fig. 3 and Fig. 4). However, no individual study-level effect sizes are presented in the manuscript, so recaclulation is not possible.",SN/TS,23.04.2025 09:48,17.12.2025 11:52,0,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,unclear,,unclear,,
38,16,FALSE,,,unclear,NULL,MD or SMD depending on the scales,,none,"only RCTs included, ROB-2 for bias assessment","The text says: &quot;Effect sizes (ES) were calculated based on the change score (mean difference, MD) between experimental and control groups in post-measures to demonstrate the impact of exercise.&quot; I don&#039;t know if this means the used change scores or used post-measures. 

On another note, recalculation may be difficult as I do not see an individual study forest plot.",Sardeli et al. 2022 (2 out of 4 single studies in the aggregate first panel of Fig 2),post-measures,NULL,SMD of post scores (with Hedges&#039; correction),,"Recalculation was challenging because no individual study forest plot exist. From the aggregated results forest plot, it was possible to take a single-study subgroup and determine which study was included. This made it possible to recalculate the ES. The forest plot incorrectly stated it displays MD, while it actually shows SMD.",SN,18.04.2025 14:30,18.04.2025 15:03,0,na,smd_hedges_post_revman,TRUE,post,revman,incomplete,none,,none,,minor,SMD labeled as MD in forest plot,
39,18,FALSE,,,change score,NULL,"SMD (Cohen&#039;s d, change-score based with pre sd standardization)",none,"reference to an earlier MA (Jülich), but this is not helpful, as Jülich has no pre-post design and does not provide details to their ES calculation methods (besides using Cohens&#039; d)","unclear, modified Downs &amp; Blacks scale for quality assessment","the point estimate for the ES is well described, but its unclear how its variance is computed. Typically this would also require a pre-post correlation. [fixed error detected during validation: pre sd was the standardizer for SMD, not post sd]",Gorman &amp; Ferron 2009 (9 out of 19 from Fig. 2a),change score,NULL,"SMD (change-score based with pre-sd standardization without bias correction). Variance calculation possibly one of the standard estimators, could only nearly reproduce ES point estimate and CI.",none,"okay, difficult. First, because the MA forest plot does not report numbers, so individual study effects have to be extracted from the plot. Second, because all original research I reviewer also did not report numbers, but only figures, so again data has to be extracted from plots.

Overall I tried 3 studies (and skipped another). (1) was Gorman &amp; Ferron, I could only nearly match the ES and the CI, but there were also missing data and inconsistencies in the original work. I skipped the next one because the MA states it used two outcomes from it without telling how they were combined. (2) was Smeeton where I may have gotten somewhere in the range of the target ES, but couldn&#039;t continue because the original data figure was missing clear information. (3) Murgia, I could get near the target ES and CI using the methods described in the MA text, so given the inaccuracies of two plot extraction processes here, this could maybe be considered a successful reproduction.

[Adjustments after validation stage: Fixed an error in (1) reproduction that lead to incorrect ES, calculated CI in (3). Overall I still did not get perfect matches, but changed my overall judgement from no reproduction to near reproduction]",SN,18.04.2025 18:05,21.10.2025 11:10,0,na,smd_cohen_change_post,FALSE,post,cohen,incomplete,unclear,,unclear,,none,,
40,19,TRUE,,,change score,NULL,MD of change scores (and change score sds),r = 0.975-0.99 depending on the variable and based on the median values of one study that reported correlations,correlation imputation based on reported values in one study and similar to the values in earlier MAs of the same group that used the same procedure,"only RCTs includede, ROB-2 for bias assessment","The correlation imputation section was very detailed and well-explained. 0.99 seems very high though. The authors state that they published all data and analysis code, this may make the recalculation easy.",Spillane et al. 2009 (12 out of 12 from Fig 2),change score,NULL,MD (not assuming homoscedasticity),"0.975 (in this instance, so exactly as the authors described it)","I could fully reproduce the ES, but only when I multiplied the control group sample size, mean, and sd by 1/2. I think this was done because there are two intervention group for this particular study (though not in the same forest plot) and the MA authors used this to account for potential double-counting). But then one should halve the sample size and definitely not also the mean and sd. This can (and in this instance does) highly bias ES towards exaggerating treatment effects. I found this out by looking at the data sheet the MA authors provided on the OSF, so providing data and code here proved to be extremely helpful. (On another note, the reference number was incorrect in the forest plot)",SN/TS,22.04.2025 09:03,19.12.2025 12:33,0,0.975,md_change_change,NA,change,hetero,complete,none,,major,"to account for multiple inclusion of control groups, the authors multiplied not only the sample size x0.5, but also the mean and the standard deviation",none,,
41,22,FALSE,,,change score,NULL,SMD of change scores (and their sds),r = 0.5 if no change score sd was reported,"SMD because outcome scales slightly differed. For the correlations, Higgins et al. 2003 is referenced, but the article does not deal with the topic. The two values 0.5 and 0.7 are used with reference to Rosenthal (r=0.7) and Follmann (r=0.5). The MA states that in case they were &quot;similar&quot;, r = 0.5 was chosen for the MA, and from Tab 1 it seems that in fact r = 0.5 was always used.","only RCTs included, PEDRO for bias assessment","The outcome data is in Tab 1, this should ease the recalculation",Jendricke et al. 2019 (2 out of 8 from Fig 2),change score,NULL,"SMD of change scores (and change score sds), with Hedges&#039; correction, classic variance estimator",unclear,"I could not exactly match the extracted numbers underlying the ES, probably because the MA authors had access to the raw data (from the same research group) and took values without rounding. When taking these values, I could reproduce the ES. (I also checked for another study that values were correctly extracted). I did not check the correlation imputation, as it was not necessary for the studies I looked at. The MA states it was actually only necessary for one study, but its Table 1 suggests that imputation was done for 3 studies. I looked at them but the data extraction seems non-trivial, so I did not formally test the imputation procedure. Also, the reference number in the forest plot was incorrect.

[modification after validation stage: fixed minor error in the recalculation script; also reuploaded original study PDF which was corrupt]",SN,22.04.2025 13:43,21.10.2025 11:39,0,unclear,smd_hedges_change_metafor,TRUE,change,metafor,incomplete,unclear,,none,,none,,
42,25,FALSE,exclude,analysis does not match inclusion criteria (no formal group comparison),unclear,NULL,,n/a,,,"This study does not formally have a group comparison. Analyses are performed within groups, including studies that had no comparison group. So the research design may not fully correspond to what we are looking for. There are two possible ways to deal with this: 
(1) exclude the study because it does not exactly match the design we are looking for
(2) include the study because the abstract suggests a design that does match our criteria and only the analysis method was not corresponding and should be treated as a special case.",,NULL,NULL,,,,SN,22.04.2025 16:21,28.04.2025 16:39,0,,,,,,,,,,,,,
