study_id,extraction_id,is_double,status,status_explanation,read_calctype,read_ancovasource,read_calcmethod,read_imputemethod,justification,imbalance,read_comments,recalc_study,recalc_calctype,recalc_ancovasource,recalc_calcmethod,recalc_imputemethod,recalc_comments,extract_user,submitted_date,last_updated,is_draft,recalc_imputemethod_result,calcmethod_code,hedges,standardizer,varestimator,reporting,error_extraction,error_extraction_note,error_calculation,error_calculation_note,error_reporting,error_reporting_note,further_observation
177,92,FALSE,,,change score,NULL,SMD (with Hedges&#039; correction) based on change scores with raw (pre) score standardization (ppc2 by Morris 2008),unreported,"method is best in regards of bias, precision and robustness (reference to Morris 2008)","only RCTs included, ROB-2 for bias assessment",,Reichkendler et al. 2013 (7 out of 46 from Fig 1),change score,NULL,SMD (with Hedges&#039; correction) based on change scores with raw (pre) score standardization (ppc2 by Morris 2008),r = 0.5,worked perfectly with the first try,SN,07.07.2025 14:40,07.07.2025 14:59,0,0.5,ppc2,TRUE,pre,morris2,incomplete,none,,none,,none,,
178,93,FALSE,,,unreported,NULL,SMD (based on the forest plot it should be post-score based),,none,"only RCTs included (most crossover, few parallel), ROB(-1/2?) for bias assessment",,Sims 2016 (11 out of 19 from Fig 2),post-measures,NULL,SMD (with Hedges&#039; correction) based on post scores and their sd,,"Most studies included in the MA were crossover designs and they had no real pre-measurements (or just one instead of one per condition). The first study I tried to recalculate has a data extraction error, which made both sd larger by the factor 10. The final study I used for the recalculation had a perfect match, when using the values from the forest plot, which were slightly off by 0.01 or -0.01 each from the reported values in the original study (this was a bit surprising to see).",SN,07.07.2025 15:07,07.07.2025 17:19,0,na,smd_hedges_post,TRUE,post,revman,incomplete,major,SD off by factor ten,none,,none,,
179,94,FALSE,,,unreported,NULL,possibly SMD (at least this is indicated by the forest plot),,following recommendations by reference Borenstein et al. 2021,"randomized and non-randomized controlled trials included, PEDRO for bias assessment",,Barbosa et al. 2002 (7 out of 21 from Fig 3 that use a single instead of a combined measure),change score,NULL,SMD of change scores and their SD,r = 0.5,"instead of the CI I recalculated the z-value, which was given in the forest plot. The data availability statement states that the extracted data is available in Tab S1, but the supplementary material only consists of a PRISMA checklist.",SN,07.07.2025 17:12,07.07.2025 17:40,0,0.5,smd_cohen_change_change,FALSE,change,cohen,missing,none,,none,,none,,
180,95,TRUE,,,change score,NULL,SMD of change scores,unreported,reference to Cochrane handbook,"possibly randomized and non-randomized trials included, PEDro for bias assessment.",,"O&#039;Riordan et al. 2023 (18 out of 22 from Fig 3; I used Fig 3 because Fig 2 appeared to present combined effect sizes for each study; the built-in random number generator of the project website did not work for this study, so I used R code instead)",post-measures,NULL,SMD (with Hedges&#039; correction) based on post-scores (with RevMan variance estimator),none,"Most included studies were crossover-design without additional pre-measures, so change score based methods may not be applicable. Recalculation was challenging, because for some studies it was not clear what data was extracted, which procedure was used for combining measures to a single effect sizes and/or data would need to be extracted from plots. In the end, I could only successfully recalculate a single ES (I&#039;ll upload this file as the &quot;original study pdf&quot;).",SN/RR,07.07.2025 17:43,19.12.2025 13:21,0,na,smd_hedges_post_revman,TRUE,post,revman,incorrect,unclear,,none,,major,study reported using change scores but used post scores for analysis,
181,96,FALSE,,,change score,NULL,SMD of change scores and their SD,r = 0.7,reference to Rosenthal 1991 for imputed correlation,"only RCTs included, PEDro for bias assessment",sensitivity analysis performed with r = 0.2 and r = 0.5,(8 out of 12 from Fig S2),change score,NULL,"SMD of change scores and their sd (unclear if Hedges&#039; correction and which variance estimator, because this did not change the results due to the large sample sizes).",r = 0.7,"I tried to reproduce two ES, the first was almost perfectly recalculated (off by 0.01), the second was exact, but had the wrong sign (effect size direction). [EDIT AFTER REANALYSIS:] I was unable to determine whether Hedges' correction was applied, but because of the large sample sizes this does not make any difference here (because of the labeling of the CMA-based forest plot I assume that no correction was applied).",SN,08.07.2025 10:13,08.07.2025 13:43,0,0.7,smd_cohen_change_change,FALSE,change,cohen,incomplete,major,incorrect direction of effect,none,,none,,
182,97,FALSE,unclear,no effect sizes available for recalculation,change score,NULL,SMD based on change scores and their sd,r = 0.5,reference to Cochrane handbook,"only RCTs included, ROB(-1) for bias assessment","This network-MA does not present individual study effect sizes, thus no recalculation attempt will be made.",,NULL,NULL,,,"From reading the manuscript it appears that the NMA is contrast-based and thus eligible for the analysis. However, no individual study-level effect sizes are presented in the manuscript or in the supplementary materials",SN,08.07.2025 13:41,08.07.2025 13:41,0,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,unclear,,unclear,,
183,98,TRUE,,,unclear,NULL,SMD (with Hedges&#039; correction),,none,"only RCTs included, SIGN-RCT checklist for bias assessment",some crossover studies were included following the guidelines by Elbourne et al. 2002. Whether change or post scores were used is unclear from the text.,Wilson et al. 2019 (21 out of 23 from Fig 2),post-measures,NULL,SMD (with Hedges&#039; correction) of post scores and their sd (with Borenstein variance estimator),none,"I couldn&#039;t match the ES of the first study (the study only reported change scores and no post scores), but the recalculation worked for the second (which I upload here). The MA authors use the Borenstein variance estimator, despite stating that they used metafor for the MA. This is rather uncommon, because that estimator is not the default setting in metafor. Maybe the ES calculation was done with another software.",SN/RR,08.07.2025 14:10,19.12.2025 13:45,0,na,smd_hedges_post_bh,TRUE,post,bh,incomplete,unclear,,none,,none,,
184,99,FALSE,,,change score,NULL,"SMD (with Hedges&#039; correction) of change scores, standardized by the average SD of pre and post SD of both groups",none,reference to Borenstein et al. 2009,"RCT and non-RCTs included, modified Downs &amp; Black checklist for bias assessment","The exact way to calculate the standardizer for the ES is unclear to me, as is the var estimator, which is not reported.",Moltubakk et al. 2021 (6 out of 29 from Fig 2),change score,NULL,SMD (with Hedges correction) of change scores standardized by the the averages of the pre and post sd (with Borenstein variance estimator),none,"I could not recalculate the first study because I was unsure which values were used for the calculations (and they probably would have needed to be extracted from a figure), the second study (which I will upload) worked",SN,11.07.2025 14:04,11.07.2025 14:48,0,na,smd_hedges_change_avg_bh,TRUE,avg,bh,complete,none,,none,,none,,
186,100,FALSE,,,change score,NULL,"SMD, possibly based on change scores",unreported,none,"randomized and non-randomized studies included, modified Downs &amp; Black checklist for bias assessment","From the tables, figures and text I assume that a change score based approach was used, but this is not really clear",Irving et al. 2015 (18 out of 21 from Fig 2),change score,NULL,SMD based on change scores and their SD,r = 0.5,"The study I used for the reanalysis did only present pre- and percentage change data. These data were used to calculate post score, with the percentage change score SD taken as the percentage post score sd (which is statistically incorrect). Then pre and post scores were used (with imputed correlation) to calculate change scores. I would not have been able to reproduce this, if the authors did not provide their extracted data, and their input data for the ES calculation in a table and the forest plot, so this was a great help. In the forest plot, the two groups of the same study were mixed up.",SN,11.07.2025 15:36,11.07.2025 15:36,0,0.5,smd_hedges_change_change_revman,TRUE,change,revman,incomplete,minor,percentage change score sd taken as percentage post score sd,none,,none,,
190,101,FALSE,,,change score,NULL,MD or SMD (with Hedges&#039; correction) using post SD standardization,none,"MD if same scale of outcome measures, SMD if different scales were used.","only RCTs included, PEDro scale for bias assessment","Different ES were used based on the measurement scales, I&#039;ll try to reproduce one MD (from Fig 1) and one SMD (from Fig. 4A)",Bjerre et al. 2019 (1 out of 2 from Fig 2) and Sundstrup et al. 2016 (2 out of 4 from Fig 4),change score,NULL,MD of change scores and change score SD (with homogenouos variances) or SMD (with Hedges&#039; correction) of change scores with post score SD standardization (using Borenstein variance estimator),none,"I tried several ES to calculate the MD procedure, but could only recalculate the point estimates not the CIs (also there was a probably incorrect direction of effect for one ES). I could reproduce the two SMDs I tried (one with very minor rounding error). [EDIT AFTER REANALYSIS: I could also recalculate the MD when using the change score SDs for the variance calculation, which is different from the SMD which uses post scores. I will here select the SMD as the target ES for recalculation, as it is more prominent than the MD in the results section of the abstract]",SN,14.07.2025 10:10,20.10.2025 14:25,0,0.7,smd_hedges_change_post_bh,TRUE,post,bh,incomplete,major,incorrect direction of effect,none,,none,,
192,102,FALSE,,,change score,NULL,SMD (without Hedges&#039; correction) based on change scores and their SD (with metafor variance estimator),r = 0.923 or r = 0.9,"Borenstein for using SMD, Dankel &amp; Loenneke 2021 for standardizing by the change score SD instead of the pre score SD, Abe et al. 2000 as a primary study for using 0.923 as a correlation imputation for leg extension, different other primary studies for provided a range of correlations (0.85-0.99) to justify the used r = 0.9.","probably randomized and non-randomized controlled studies included, ROB-2 for bias assessment","Very detailed account of the effect size calculation including formulas for the point and variance estimates and references for the used procedures and imputed values. Sensitivity analyses for r = 0.7, 0.8 were performed.",Botton et al. 2016 (19 out of 24 from Fig 2),change score,NULL,SMD (without Hedges&#039; correction) based on change scores and their SD,r = 0.9,"I succeeded with the third ES to recalculate, the first probably had a slight differences in the CI, the second probably mistakenly took the unstandardized mean difference as the point estimate (and had the wrong effect direction, though the ES was very small), the third worked perfectly. Notably, although the MA stated that the used a particular r instead of the standard r=0.9 for leg extension measurements, they used r = 0.9 also for leg extension.",SN,14.07.2025 11:43,14.07.2025 12:32,0,0.9,smd_cohen_change_change,FALSE,change,cohen,complete,major,"MD instead of SMD for point estimate, incorrect effect direction; unclear for another effect size",none,,minor,correlation of 0.9 was used for all measures (instead of 0.923 which was reported for own particular outcome),
193,103,FALSE,,,change score,NULL,SMD (possibly change score based with change score standardization),r = 0.75,"imputed correlation is based on an earlier MA on the same topic (Grgic et al. 2022), that used the correlation as a conservative estimate based on original studies that allowed to recalculate the correlation.","only randomized trials included, TESTEX scale for bias assessment",sensitivity analyses were performed for correlation ranging from 0.6-0.9; open data and code available. The the Supplementary Materials show and the limitations section discussed that slightly lower correlations (r<0.74) lead to non-significant pooled effects ,Terada et al. 2022 (18 out of 18 from Fig 2),change score,NULL,SMD (with Hedges&#039; correction) of change scores and their SD (with metafor variance estimator),r = 0.75,"One minor data extraction error occurred for the recalculated ES, which only lead to a very minor difference of 0.01 for the ES point estimate. I could verify the data extraction error with the help of the provided raw data.",SN,14.07.2025 15:01,14.07.2025 15:33,0,0.75,smd_hedges_change_change_metafor,TRUE,change,metafor,incomplete,minor,incorrect standard deviation extracted,none,,none,,
197,104,FALSE,,,change score,NULL,"SMD (with Hedges&#039; correction) of change scores and their sd, or MD if same scale was used for outcome",r = 0.70,"for correlation imputation, reference to two earlier MA: Csapo &amp; Alegre 2016 and Orssatto et al. 2019 (both link to Khouri et al. 2013, which links to Rosenthal 1993);",Randomized and non-randomized controlled trials; ROB-2 (for RCTs) or ROBINS-I (non-RCTs) for bias assessment,individual effect sizes and extracted data are presented in the supplementary materials,Correa et al. 2014 (1 out of 12 from Fig S1A),change score,NULL,SMD (with Hedges&#039; correction) of change scores and their SDs (possibly RevMan variance estimator),r = 0.7,"I could not continue reproducing the ES for the first study, because means had to be extracted from a plot and SDs were not presented at all (this is also indicated in the MA supplementary material). For the second ES (Radaelli et al. 2014) I could get a perfect match with the first try.",SN,14.07.2025 15:46,20.10.2025 10:27,0,0.7,smd_hedges_change_change_revman,TRUE,change,revman,complete,none,,none,,none,,
200,105,FALSE,,,post-measures,NULL,SMD based on post scores,,none,"only RCTs included, PEDro scale for bias assessment","The MA included both crossover and parallel group trials. For crossover trials the ES is calculated as a within-group ES, with r = 0.7 (reference to Rosenthal 1991 and an earlier MA using 0.7 [Kishita et al. 2017, who also reference Rosenthal 1993]), with sensitivity analyses setting r = 0.5, 0.8",Griefahn et al. 2021 (2 out of 2 from Fig 2A),post-measures,NULL,SMD based on post scores and their SD (without Hedges&#039; correction),,"This was challenging, because the two studies from the same first author were mixed up in the forest plot. Also the first recalculated ES had the wrong direction of the effect (although the ES was small, so this has almost no impact). The second recalculation worked well when using rounded values.",SN,14.07.2025 16:50,17.07.2025 15:00,0,na,smd_cohen_post,FALSE,post,cohen,incomplete,major,incorrect direction of effect,none,,none,,mislabeled studies in forest plot
202,106,FALSE,,,unclear,NULL,SMD (with Hedges&#039; correction),,reference to Hedges &amp; Olkin 1985 for bias correction,"only RCTs included, PEDro scale for bias assessment","Possible change scores were used, but this is not clear from the text. Open data and open code.",Campos et al. 2013 (7 out of 19 from Fig 3),change score,NULL,"the difference of the separately calculated pre- and post-SMD as the ES point estimate, with the post-SMD variance (using RevMan variance estimator).",none,"I could recalculate one ES using the method describe above (but in this case, the MA authors took the SE for the SD). But for the first and third ES, I could absolutely not recalculate the values, although the data was sufficient and matches the published MA data. The published data and code does not provide any information on how the ES were calculated. There may be an important undocumented step in the ES calculation, that was by chance not relevant to the one ES for which the recalculation succeeded.

[UPDATE AFTER AUTHOR CONTACT:]
The authors provided a spreadsheet with the calculation. However, approximately half of the effect sizes did not match the published forest plot data, which the authors stated was an error they cannot explain. They have contacted the journal for correction. When using the correct ES, I could recalculate the ES and CI using the rather unusual procedure using separate SMD for pre- and post values. I have updated the code and the primary article reanalyzed to Holviala et al.",SN,17.07.2025 15:03,11.11.2025 10:58,0,na,smd_hedges_change_difprepost_revman,TRUE,difprepost,revman,incomplete,major,"half of the effect sizes do not match the raw data, unclear why (even to the authors)",major,"incorrect calculation procedure (difference of seperate pre-SMD and post-SMD, variance only for post-SMD)",none,,
209,107,FALSE,,,change score,NULL,MD of change scores,none,none,"only RCTs included, ROB-2 for bias assessment",,Zavanela et al. 2012 (19 out of 19 from Fig 2),change score,NULL,MD based on change scores and their SD,r = 0.5,,SN,23.07.2025 12:05,23.07.2025 12:29,0,0.5,md_change_change,NA,change,hetero,incomplete,none,,none,,none,,
